Регион,Год,Индекс_физического_объема,Экспорт,Импорт,Прибыль_от_продаж,Фондоотдача,ВРП
Алтайский край,2002,107.363636363636,115671.13,262574.978,73986593.0,0.909748076759606,73107.4
Алтайский край,2003,107.363636363636,134947.596,401143.124,93378715.0,1.12964701979673,88733.3
Алтайский край,2004,107.363636363636,239785.309,651154.148,125849870.0,1.58642957656593,114840.5
Алтайский край,2005,113.6,188294.991,686682.38829,139234181.0,2.00029122244843,135686.4
Алтайский край,2006,118.8,272471.979,510363.899,169756603.0,2.89036562835296,173810.5
Алтайский край,2007,128.2,319035.125,934525.639,214768533.0,4.27226458074134,223563.4
Алтайский край,2008,106.7,627403.412,1291772.069,272830456.0,4.81800240358995,259343.1
Алтайский край,2009,107.363636363636,335190.287,735355.81572,257604762.0,4.53203942635466,265613.3
Алтайский край,2010,107.363636363636,410914.74761,555455.71173,322032931.0,5.07078351221395,302900.7
Алтайский край,2011,107.363636363636,420012.99296,507890.8507,381189108.0,4.75668542564842,332117.8
Алтайский край,2012,107.363636363636,429165.40001,426746.86097,447647184.0,4.4991801592298,368995.2
Алтайский край,2013,104.2,299419.87728,451053.38296,474223382.0,4.3182696650198,416110.3
Алтайский край,2014,103.7,433224.821,737640.707,499933012.0,4.07075674272326,446023.8
Алтайский край,2015,83.2,260486.46794,667279.89554,526274638.0,4.82032046164116,487903.3
Алтайский край,2016,90.0,302022.85948,668489.37488,551786010.0,5.33374501454132,532401.5
Алтайский край,2017,110.0,488138.05244,952954.54193,553938525.0,5.34570903674332,545303.0
Алтайский край,2018,121.7,510540.20446,1138371.4235,637153611.0,5.86238638372493,579740.5
Алтайский край,2019,100.9,500073.96248,1155073.72331,668157140.0,5.99035612779314,630813.8
Амурская область,2002,109.354545454546,24328.186,70700.581,31939500.0,0.798506094875461,45717.5
Амурская область,2003,109.354545454546,36331.756,76642.533,40775852.0,0.922618934062229,53199.9
Амурская область,2004,109.354545454546,49969.111,99395.76,49115812.0,0.855756478460698,64250.2
Амурская область,2005,97.6,116554.067,153162.607,56503966.0,1.21804739228839,76861.2
Амурская область,2006,84.2,138417.378,113605.848,65673507.0,1.36851306490175,95090.9
Амурская область,2007,113.3,277428.888,131337.122,85180167.0,1.48432665474172,111761.2
Амурская область,2008,121.8,403662.61,158312.877,105650629.0,4.04929639922445,131563.7
Амурская область,2009,109.354545454546,214915.001,131007.633,127290770.0,3.33571441739862,151118.6
Амурская область,2010,109.354545454546,287405.49779,137910.624,145482801.0,3.00400893115651,178689.6
Амурская область,2011,109.354545454546,520418.25831,228444.58551,191362889.0,3.11403484759064,225401.7
Амурская область,2012,109.354545454546,753616.23126,334642.24875,192733560.0,2.33795240252269,229407.1
Амурская область,2013,97.1,474424.42324,351794.8142,194128703.0,2.13821280736255,210700.9
Амурская область,2014,70.3,498557.2,383345.003,206831905.0,2.2392185437138,232053.0
Амурская область,2015,131.1,277004.6702,398584.42699,223441737.0,2.60350440241882,277380.4
Амурская область,2016,114.2,165838.23369,340279.75966,209827288.0,2.38636006211046,297531.0
Амурская область,2017,137.0,208022.67313,308650.58358,228549637.0,2.63548774690253,299181.0
Амурская область,2018,110.1,312741.02339,371766.52417,252443583.0,2.6380091247861,334164.4
Амурская область,2019,126.2,272468.59419,480548.3435,257535112.0,1.82675755415702,412481.1
Архангельская область,2002,105.609090909091,147579.566,658052.745,84333412.0,1.29310463703625,83158.8
Архангельская область,2003,105.609090909091,115443.786,744764.142,104208051.0,1.54803485944982,103951.3
Архангельская область,2004,105.609090909091,132132.662,849693.143,125532322.0,1.20814694506464,142564.7
Архангельская область,2005,118.4,119872.24845,886172.26861,176437626.0,1.56146463542316,166433.4
Архангельская область,2006,159.1,311977.048,1077295.576,179824969.0,1.64173871326558,215932.7
Архангельская область,2007,120.4,328511.376,1335417.328,205032383.0,1.8024196650199,268672.1
Архангельская область,2008,86.0,402612.9,2304618.635,224172431.0,2.04371735035253,289755.9
Архангельская область,2009,105.609090909091,238995.102,4052086.519,245349764.0,1.30649641214261,323606.8
Архангельская область,2010,105.609090909091,214837.31307,5508054.17512,344491610.0,1.62883488965783,372804.8
Архангельская область,2011,105.609090909091,182408.93186,4703335.52639,383660984.0,1.81372522853317,439116.8
Архангельская область,2012,105.609090909091,235131.77684,2739236.3692,367329134.0,1.67553315436136,472470.9
Архангельская область,2013,79.2,236118.28457,1266148.62529,381506494.0,1.6368257453935,500095.1
Архангельская область,2014,90.5,202622.112,2302624.718,397466779.0,1.53851470673966,542695.3
Архангельская область,2015,92.5,125917.72676,2048230.47811,406559670.0,2.14870109658491,627698.1
Архангельская область,2016,96.1,217747.47459,2088476.56606,442280040.0,2.15225300272958,713043.9
Архангельская область,2017,145.0,192869.75461,2406471.59905,463122190.0,2.09530348796281,759206.5
Архангельская область,2018,85.6,232075.92249,2958320.94588,515899087.0,1.9660320374146,865723.3
Архангельская область,2019,88.9,272472.06736,2304550.79728,520631022.0,2.05109208209373,890166.5
Астраханская область,2002,101.454545454545,116213.416,234255.13,36324604.0,1.3458873661239,40994.9
Астраханская область,2003,101.454545454545,125334.264,333939.496,44028809.0,1.60461438791813,50659.8
Астраханская область,2004,101.454545454545,85232.328,195643.064,54006367.0,1.85517117605826,56710.9
Астраханская область,2005,83.3,125378.209,196490.432,60603259.0,2.04302262539473,70127.6
Астраханская область,2006,117.9,203292.765,286373.642,62825141.0,2.18271999966654,85112.1
Астраханская область,2007,134.7,194711.811,303610.609,81047291.0,2.81752003815496,100359.2
Астраханская область,2008,105.9,223419.862,1005951.638,125636336.0,3.69086715793443,147549.1
Астраханская область,2009,101.454545454545,355244.399,272226.533,102452085.0,2.85140203362815,134418.2
Астраханская область,2010,101.454545454545,271150.9445,360426.43959,114532182.0,2.07735823750122,144888.8
Астраханская область,2011,101.454545454545,227784.37893,416853.98235,131900359.0,1.53813920005191,172616.6
Астраханская область,2012,101.454545454545,384778.74903,529857.54143,161671249.0,1.71285786012466,209654.4
Астраханская область,2013,137.0,386426.0676,656693.4802,197185873.0,1.92319962337494,273917.1
Астраханская область,2014,80.7,502817.37,977527.755,214874371.0,1.92555347476257,296319.3
Астраханская область,2015,89.0,264440.71204,416884.64998,213695244.0,1.72239239391711,322303.0
Астраханская область,2016,104.1,357668.05795,320752.26636,239314981.0,1.31895906356587,368485.4
Астраханская область,2017,118.0,159996.09895,720286.73088,336218570.0,1.65508724506155,442608.8
Астраханская область,2018,63.1,646835.51905,951101.82046,459853128.0,1.61699038855658,579210.0
Астраханская область,2019,82.3,130402.47377,453320.71468,439524855.0,1.48239805728762,602306.7
Белгородская область,2002,106.654545454545,610498.635,507759.947,101464823.0,1.81267137694749,62404.4
Белгородская область,2003,106.654545454545,838141.172,643256.751,125743811.0,2.28719412592876,76054.5
Белгородская область,2004,106.654545454545,1291443.94728,980998.137,172016083.0,3.22952307135279,114409.3
Белгородская область,2005,135.2,1249824.462,1388639.652,230267401.0,3.83939665792331,144987.8
Белгородская область,2006,125.2,2215566.32253,1522195.853,267835039.0,3.7323596723855,178846.1
Белгородская область,2007,124.2,4033220.15,2316172.688,401502404.0,4.35279880770679,237013.3
Белгородская область,2008,105.1,4994042.18942,3704094.42225,548939446.0,4.59659557463641,317656.3
Белгородская область,2009,106.654545454545,2132647.863,1755295.717,493949301.0,3.33194431717711,304345.3
Белгородская область,2010,106.654545454545,4276352.94261,2694700.39599,640351380.0,3.82467243131685,398361.4
Белгородская область,2011,106.654545454545,6629438.64269,3821706.30703,818860496.0,4.56734408913133,507839.8
Белгородская область,2012,106.654545454545,5221510.3727,3425755.73431,876497609.0,4.33397920408037,545517.2
Белгородская область,2013,89.5,4083188.89929,3154490.62489,913915272.0,4.30361922725766,569006.4
Белгородская область,2014,90.5,3271001.546,3203125.801,1020192462.0,4.46798958158871,619677.7
